dist,green55,green56,green57,green58,green59,green60,green61,green62,waste55,waste56,waste57,waste58,waste59,waste60,waste61,waste62
คลองเตย,5.06,5.17,5.29,5.49,5.73,6.81,7.72,8.01,2.925,3.173,3.152,3.175,3.145,3.098,2.959,2.919
คลองสาน,2.66,2.74,2.84,2.91,3.06,3.08,3.32,3.37,1.652,1.663,1.652,1.798,1.714,1.708,1.732,1.847
คลองสามวา,2.37,2.32,3.19,3.67,3.88,3.91,4.07,3.98,0.913,0.966,0.920,0.977,0.926,0.997,1.007,1.057
คันนายาว,9.39,11.14,20.48,21.60,22.64,22.35,24.95,25.22,1.453,1.401,1.337,1.419,1.492,1.460,1.549,1.547
จตุจักร,10.85,10.98,10.91,11.03,13.15,13.38,13.56,13.50,2.276,2.289,2.264,2.373,2.471,2.651,2.770,2.631
จอมทอง,1.55,1.73,2.25,2.76,2.95,2.93,3.13,3.15,1.233,1.283,1.294,1.325,1.280,1.256,1.390,1.373
ดอนเมือง,3.95,3.98,3.16,3.33,3.32,3.72,3.94,3.93,1.011,0.998,1.009,1.097,1.120,1.181,1.260,1.231
ดินแดง,1.40,1.52,1.86,1.89,1.89,1.90,1.96,1.99,1.987,2.112,2.150,2.110,2.203,2.310,2.413,2.403
ดุสิต,3.36,3.41,3.51,3.62,3.67,12.28,12.50,13.21,1.682,1.648,1.651,1.715,1.774,1.822,1.803,1.866
ตลิ่งชัน,7.03,7.61,11.68,10.89,10.87,9.58,13.44,13.47,1.134,1.159,1.196,1.261,1.258,1.333,1.423,1.392
ทวีวัฒนา,13.26,13.99,14.17,17.83,11.39,15.51,20.17,20.20,1.245,1.257,1.251,1.327,1.261,1.252,1.382,1.448
ทุ่งครุ,3.37,3.55,3.97,4.41,4.77,4.80,5.15,5.25,1.022,1.046,1.012,0.960,1.071,1.162,1.157,1.083
ธนบุรี,1.41,1.49,1.54,1.63,2.06,2.14,2.28,2.32,1.374,1.381,1.397,1.429,1.425,1.475,1.523,1.515
บางกอกน้อย,2.30,2.42,2.62,2.42,2.49,2.64,2.72,2.80,1.666,1.560,1.604,1.732,1.723,1.719,1.555,1.559
